microsoftcognitiveservicesspeech,[tfm=netstandard2.0]Microsoft.CognitiveServices.Speech,1.46.0
microsoftcognitiveservicesspeechremoteconversation,[tfm=netstandard2.0]Microsoft.CognitiveServices.Speech.Remoteconversation,1.46.0
